Confirmed,Source,KOR
,"不可恢复","회복 불능"
,"不可用","사용할 수 없음"
,"不选择锁定的战姬","잠금된 전희를 선택하지 않음"
,"不错，前去给予好评！","그래, 가서 호평해!"
,"不   可   用","사용할 수 없다"
,"世界","세계"
,"东云","동운"
O,"东方之珠区域探索","동방의 진주 구역 탐사"
,"个人专长","특기"
,"个人信息","개인 정보"
,"个人排名","개인 순위"
,"个人故事","개인 이야기"
,"中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”的实施原则，分步骤推进适龄提示标准中国音数协拟按照“点线面体”","중국음수협은 '점선면체'의 실시원칙에 따라, 단계별 추진적령제시표준중국음수협은 '점선면체'의 실시원칙에 따라, '점선면체제시표준적령제시표준중국음수협은 '점선면체제시표준적령제시표준적령제시표준중국음수협'의 실시원칙에 따라, 단계별 추진적령제시범위인 중국음수협은 '점선면체'의 실시원칙적령제시범칙에 따라 추진된다.점선면체“"
,"中将二阶","중장 이계"
,"中断战斗将无法获得该场战斗的奖励","전투를 중단하면 그 전투의 장려를 얻을 수 없을 것이다."
,"中","중"
O,"中断战斗","전투 중단"
,"为夜莺","위야앵"
,"主动技能","능동 기능"
,"主属性将删除","주 속성이 삭제됩니다"
O,"主线剧情","메인스토리"
,"主线","본줄"
O,"主线CG","메인 CG"
,"主要奖励","주요 포상"
,"主要属性:","주요 속성:"
,"主要属性","주요 속성"
,"主要属性：","주요 속성:"
,"主要报酬","주보수"
,"主要装备","주요 장비"
,"举报玩家","제보 플레이어"
,"之后不再提示","이후 더 이상 알림 없음"
,"也许从其他人看来只是毫无意义的去死，但对于奥托露娜的骑士来说","남들이 보기엔 그저 의미 없는 죽음으로 보일지 몰라도 오토루나의 기사에게는"
,"也许我只是一条没有什么前途的提示信息，3秒后就要消失","아마도 나는 비전이 없는 메시지일 뿐, 3초 후면 사라질 것이다."
,"书籍","책"
,"买了！","샀다!"
,"了解清楚文章生成器到底是一种怎么样的存在解决一切问题的关键","문장 생성기가 도대체 어떤 존재인지 정확히 파악하여 모든 문제를 해결하는 관건이 된다"
,"二十四岁是","24살은"
,"二十四","이십사"
,"二十四岁","스물네 살"
,"二十四岁是学生","24살은 학생이다."
,"二十四岁是学生D","24살은 학생 D이다."
,"二十四岁,是学生","24살에 학생이다"
,"云冠群岛","운관군도"
,"五星及以上","별 다섯 개 이상"
,"五星战姬","오성전희"
,"交换已在编队中战姬的站位","이미 편대에서 전희의 입석을 교환하다"
,"人数","인원수"
,"人身攻击","인신공격"
,"仅限一次","한 번만"
,"今后不再提示","금후 더 이상 제시하지 않겠다"
O,"今日不再弹出","오늘 그만 보기"
,"今日不再提示","오늘 더 이상 알림 없음"
,"今日剩余","금일 잔여 횟수"
,"今日可捐献次数","금일 기부 가능 횟수"
,"今日已捐款","오늘 이미 기부했다."
,"今日已捐献","오늘 이미 헌납했다"
,"介绍内容内容内容内容内容内容内容内容内容内容内容内容内容内容内容容内容内容内容容内容内容内容容内容内容内容","내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 내용 소개"
,"介绍文字","소개 문자"
,"介绍：","소개:"
,"从图里挖出了……未知的漂流瓶！","그림에서 꺼냈습니다…알 수 없는 표류병!"
,"从高等级战姬开始升星","고급 전희부터 별을 따다"
O,"仓库","창고"
O,"仓库容量增加","창고 용량 증가"
,"付费7500","유료 7500"
,"代理作战结束","대리 작전 종료"
,"代理作战","대리 작전"
,"以下战姬","이하 전희"
,"任务已过期","임무가 만료되었습니다"
,"任务","임무"
,"任务名字","임무 명칭"
,"任务完成","임무 완료"
,"任务开始","임무 시작"
,"任务描述任务描述任务描述
任务描述任务描述","작업 설명 작업 설명 작업 설명
작업 설명 작업 설명"
,"任务文案","임무 문안"
,"任务条件","임무 조건"
,"任务目标","임무 목표"
,"任务简报","임무 브리핑"
,"任务系统","임무 시스템"
,"任务详情","임무 상세 정보"
,"仿生蝾螈","방생 도롱뇽"
,"伏尔泰在不经意间这样说过","볼테르는 무심코 이렇게 말했다."
,"优先使用升星战姬","승성전희 우선 사용"
,"优先攻击精英","우선 공격 엘리트"
,"优先目标","우선 목표"
,"优雷卡 恒冰之地","유레카 빙상지"
,"会进行重新随机，输入YES确认操作。","다시 무작위로 YES를 입력하여 확인 작업을 진행합니다."
,"会长的名字八个字","회장의 이름은 여덟 자이다."
,"传播有害信息","유해 정보를 퍼뜨리다"
,"传说","전설"
O,"伤害","피해"
,"伤害加成","상해 가산"
,"伤害奖励","상해 장려"
O,"伤害提升30%","피해량 +30%"
O,"伤害量增加5%","피해량 +5%"
,"似乎","마치"
,"但我们还有任务尚未完成，请尽快返回战场吧！","그러나 아직 미완성이 남아 있으니 가능한 한 빨리 전장으로 돌아가 주십시오!"
,"位置航点","위치항로"
,"位置01","위치 01"
,"低","낮다"
,"低阶预想","낮은 등급의 예상."
,"体力","체력"
,"体力上限","체력 상한선"
,"体验关卡不能更换队员","관문, 선수 교체 불가 체험"
,"作战人员","전투원"
,"作战信息","작전 정보"
,"作战开启时间","작전 개시 시간"
,"作战情报","작전 정보"
,"佩戴者 ON","착용자 ON"
,"佩戴者ON","착용자 ON"
,"使用钻石购买 50体力","다이아몬드로 체력 50 구매"
O,"使用","사용"
O,"使用中","사용 중"
O,"使用体力","체력 사용"
,"使用微信登录","위챗으로 로그인하기"
,"使用推荐战姬可获得加成：","추천 전희를 사용하면 추가 할당을 받을 수 있습니다:"
,"使用金币使此次战斗战姬效能提升100%","금화 사용으로 이번 전투희 효과 100%향상"
,"使用QQ登录","QQ 로그인 사용"
,"侦测到数据锁定","데이터 잠금장치가 확인되었습니다."
O,"保存","저장"
,"保存为新方案","새 프로젝트로 저장"
,"保存到本地","로컬로 저장"
,"保存方案","프로젝트 저장"
,"保存设置","설정 저장"
,"信息流","정보의 흐름"
,"信息","정보"
,"信息未录入","정보가 입력되지 않았습니다."
O,"修复","복구"
,"修改徽章","배지 수정"
,"修改边框","경계선 수정"
,"修罗","수라"
,"傀儡师","괴뢰사"
,"傀儡-竖琴师","꼭두각시-하금사"
,"元帅一阶","원수일계"
,"充能 5 回合","5라운드까지 충전할 수 있다."
,"光之翼","빛의 날개"
,"光圈科技装备箱","조리개 과학기술 장비함"
,"克罗","크로"
,"免疫以下效果","면역 이하 효과"
O,"免费","무료"
O,"免费刷新","무료 갱신"
O,"免费招募","무료 모집"
O,"免费7500","무료 7500"
O,"兑换","교환"
O,"兑换物品","물품 교환"
,"全类型加成","전체 형식 추가"
,"全类型加成：","모든 형식 추가:"
O,"全部收取","모두 수령"
O,"全部通关","일괄 정리"
O,"全部","전부"
O,"全部清空","모두 비움"
O,"全部邮件: 999","모든 메일: 999"
O,"全部领取","일괄 수령"
,"公会建设","공회 건설"
,"公会","공회"
,"公会名字8个字","조합 이름 8자"
,"公会成员","조합원"
,"公会系统暂未开放","노동조합 시스템 미개방"
O,"公告","공지"
,"共            次","모두"
,"关","관"
,"关于","관련 있는"
,"关于战姬调整说明","전희 조절에 관한 설명"
O,"关卡","레벨"
O,"关卡完成度","레벨 완성도"
O,"关卡标题标题","레벨 이름이름"
O,"关卡 10-1","레벨 10-1"
O,"关卡 10-1 后解锁","레벨 10-1 클리어후, 해금"
,"关联项目","연관항목"
,"关闭列表","목록 닫기"
,"关闭","닫다"
,"其他说明","기타 설명"
,"其他","기타"
,"其实与其实","사실과 사실"
,"养成指导","육성 가이드"
,"内含物品","포함 아이템"
,"内容文本最多 140 字","내용 최대 140자"
,"内容未解锁","내용 잠금 해제 안됨"
,"内燃克机械，机械克电磁，电磁克","내연극기계, 기계극전자, 전자극"
,"内燃克机械，机械克电磁，电磁克内燃，核能与其它属性不互克。","내연극 기계, 기계극 전자기, 전자극 내연, 원자력과 기타 속성은 서로 상극하지 않는다."
,"再次挑战","재도전"
,"再次挑战(1/1)","재도전(1/1)"
,"再次派遣","재파견"
,"军团","군단"
,"军团名称七个字","군단명 7자"
,"军需补给","군수 보급"
,"冬云","동운"
,"冷却4回合","냉각 4라운드"
,"净化者","정화자"
,"准备作战","준비 작전"
,"几天","며칠"
,"出击次数","출격 횟수"
,"出击","출격"
,"出击情况","출격 상황"
,"出发准备","출발 준비"
,"出生日期","생년월일"
,"击败一起登场的敌人","함께 등장한 적을 격파하다"
,"分数加成","점수 가산"
,"分","나누다."
,"分数","분점수"
,"分解","분해"
,"列表里没有好友","목록에 친구 없음"
,"创世","창세"
,"创建师团","사단 창설"
,"创建","생성"
,"初级指令","일차지령"
O,"删除","삭제"
O,"删除已读","읽은 메일 삭제"
O,"制作成功","제작성공"
O,"刷新","갱신"
,"刷新对手","상대를 쇄신하다"
,"刷新对手会导致连胜清零","쇄신은 연승 제로(0)로 이어질 수 있다"
,"刷新此商店","이 상점 새로 고침"
,"前卫战姬","전위전희"
O,"前往作战","전투"
O,"前往","Go"
O,"前往图鉴","도감보기"
,"前往强化","강화로 나아가다"
,"前往当前层","현재층으로 가기"
,"前往普林斯顿","프린스턴으로 가기"
,"前往获取","가서 가져오기"
,"前往频道:","채널로 가기:"
,"前40","마흔이 넘다"
O,"剧情","스토리"
O,"剧情回顾","다시보기"
O,"剧情跳过提示","건너뛰기"
O,"剧情 S-1","스토리 S-1"
O,"剧情 S-10 提要","스토리 S-10 요약"
,"剩余天数[<color=#ef6410>30</color>]天","잔여일수[<color=#ef6410>30</color>일"
,"剩余挑战次数","잔여 도전 횟수"
,"剩余时间: <color=#3a9bec>30日</color>","남은 시간:<color=#3a9bec>30일</color>"
,"剩余次数","남은 횟수"
,"剩余次数 (07时32分后补充 )","남은 횟수(07시32분 이후 보충)"
,"剩余次数 1/1（重置次数10天恢复1次）","잔여횟수 1/1(리셋횟수 10일 1회 복구)"
O,"剩余：","잔여:"
O,"剩余         天","잔여         일"
,"剩余 1","나머지 1"
,"剩余 27天 14时","남은 27일 14시"
,"剩余","잉여"
,"剩余 5 ","나머지 5"
,"剩余 9 天奖励可领取","남은 9일 인센티브 수령 가능"
,"剩余3次","남은 3회"
,"剩 余 时 间","남은 시간"
O,"剩 余 <size=19><color=#FFD525>7</color></size>  天奖励可领取","보상을 받기 까지<size=19><color=#FFD525>7</color></size>일 남음"
,"副同盟长","부동맹장"
,"副官  千反田：","부관이 천 번 밭을 갈다"
,"功能","기능"
,"加入师团","사단에 가입하다"
,"加分条件","가산점 조건"
,"加成说明","가성 설명"
,"动能装甲","운동에너지 장갑"
,"助战列表","도움말 목록"
,"包含以下物品","아래의 물품을 포함하다"
,"包含初始3星战姬作为升星材料","초기 3성 전희 포함 승성 재료"
,"包装","포장하다."
,"北极光装备补给箱","북극 광장비 보급함"
,"区域","구역"
,"区域任务","지역 작업"
,"区域信息","지역 정보"
,"区域详情信息","지역 정보"
,"区域X-1","영역 X-1"
,"十字星学园","십자성학원"
,"千岁","천세"
,"升星","떠오르는 별"
,"升星材料设置","승성 재료 설정"
,"升星消耗","상승성 소모"
,"升星目标设置","별 띄우기 대상 설정"
,"升星素材","승성 소재."
,"升星结果","승성 결과"
,"升星设置","별 띄우기 설정"
,"升级","승급"
,"升级中","업그레이드 중"
,"升级前","업그레이드 전"
,"升级后","업그레이드 후"
,"升级消耗","업그레이드 소모"
,"升级素材","소재를 업그레이드하다."
,"升级通行证可获得大量奖励","통행증을 업그레이드하면 많은 장려를 받을 수 있다"
,"午间燃料补给","점심 연료 보급"
,"协议","협의하다"
,"卖出","팔리다"
,"南方博兹雅战线","남부 보즈야 전선"
,"卡佩拉","카펠라"
,"即将回收以下物品","바로 아래의 물품을 회수할 것이다"
,"卸下","떼다"
O,"卸载","해제"
,"卸载消耗","마운트 해제 소모량"
,"历史战绩","역대 전적"
,"原型","원형"
,"参加成员","참가 구성원"
,"参战奖励","참전 장려"
,"友情点+25","우정포인트+25"
,"友方","우방"
,"双方生效","쌍방발효력"
,"发动夹击发动夹击","협공 발동, 협공 발동"
,"发起请求","발기청구"
,"发送","발송하다"
,"取消","취소"
,"变身前","변신 전"
,"变身后","변신 후"
,"召回","소환하다"
,"可以获得的特别奖励","받을 수 있는 특별한 인센티브"
O,"可升星战姬","승급가능전희"
,"可同时派遣队伍数量+1","동시에 파견 할 수있는 팀 수 +1"
,"可挑战训练对手","도전할 수 있는 상대"
,"可无限购买","무한 구매 가능"
,"可用","사용 가능"
,"可立即获得“梅可的牛奶”限定皮肤、头像、头像框套装！","바로 '메코의 우유' 한정 피부, 프로필, 프로필 프레임 세트!"
,"可能获得以下物品","아래의 물품을 획득할 수 있습니다"
,"可获取套装类型","세트 종류 획득 가능"
,"可配置","설정 가능"
,"台词台词一二三四五六七
七六五四三二一","대사 대사 하나, 둘, 셋, 넷, 다섯, 여섯 일곱
칠육오사삼이일"
O,"合成","합성"
,"合成数量","합성수량"
,"合计报酬","합산보수"
,"吉尔吉斯斯斯坦","키르기스스탄"
,"同时更换1号展示位内容","동시에 1번 전시 자리 바꾸기"
O,"同盟首页","동맹 초기화"
O,"同盟","동맹"
O,"同盟信息","동맹 정보"
O,"同盟公告","동맹 공지"
O,"同盟名字七个字","동맹 이름 일곱 글자"
O,"同盟名称","동맹 이름"
O,"同盟名称：","동맹 이름:"
O,"同盟总计出击次数：","동맹 총 출격 횟수:"
O,"同盟成员：","동맹 구성원:"
,"同盟成员：50/50","동맹원:50/50"
,"同盟战况","동맹 전황"
,"同盟挑战","동맹의 도전"
O,"同盟排名","동맹 랭킹"
O,"同盟日志","동맹 일지"
O,"同盟的名字八个字","동맹의 이름 여덟 글자"
O,"同盟简介四十字","동맹 소개 40자"
O,"同盟简介：","동맹 소개:"
,"名","이름"
,"名名字八个字","이름 여덟 글자"
,"名字","이름"
,"名字拥有8个字","이름은 8자를 가지고 있다."
,"否","아니오"
,"启动消耗","부트 소모"
,"周一二三开放","매주 하나, 둘, 셋 개방"
,"周排名奖励","주간 랭킹 장려"
,"命运序曲","운명의 서곡"
,"咩咩","메메"
,"咸鱼一条咸鱼一","절인 생선 한 마리 짠 생선 한 마리."
,"哈哈","하하"
,"哈士奇","허스키"
,"售价","판매가격"
,"商会任务","상인회 임무"
,"商城购买","쇼핑몰 구매"
,"商店","상점"
,"啊啊啊啊","아아아아아"
,"啥玩意","무슨 장난감"
,"喜爱","애호하다"
,"喷射猛禽","맹금을 내뿜다"
,"喷气式回旋加速炮","제트 회전 가속포"
,"喷气式阿姆斯特朗回旋加速炮","제트 암스트롱 회전 가속포"
,"嘎哈呢","까르륵"
,"四周前","사방 앞"
,"四星及以上","별 넷 이상"
,"四星战姬","사성전희"
,"回到标题界面","제목 인터페이스로 돌아가기"
,"团长","연대장"
,"团队贡献统计","단체 기여 통계"
,"困难","어려움"
,"图鉴","도감"
,"在小队获得星星个数","소대에서 별의 개수를 획득하다"
,"在此输入以搜索","검색하기 위해 입력하십시오"
,"在此输入方案名","프로젝트 이름을 입력하십시오"
,"在游戏内消耗/获取以下资源,即可获取纽带指令经验","게임 내에서 다음과 같은 자원을 소모/취득하면, 유대 명령어 경험을 획득할 수 있습니다."
,"在","있다"
,"在目前地区获得的星星个数","현재 지역에서 얻은 별 개수"
,"在线","온라인"
,"在线时间","온라인 시간"
,"地图完成度 100%","지도 완성도 100%"
,"地点","장소"
,"场景","광경"
,"均衡","균형"
,"基础伤害 +10%","기본 상해 10%"
,"基础强化","기초강화"
,"基础收益","기초수익"
,"基础资源下载","기본 리소스 다운로드"
,"堕落之枪","타락한 총"
,"堕落骑士","타락한 기사"
,"填写指挥官姓名","지휘관 성명을 기입하다"
,"增加全体战斗战姬的攻击，防御，生命。","전체 전투희들의 공격, 방어, 생명을 증가시킨다."
,"增加战姬
100%能力","전희추가
100%능력"
,"增加挑战次数","도전 횟수를 늘리다"
,"增幅元件","증가폭 소자"
,"增益效果","이익 증대 효과"
,"声望值","명망치"
,"声望增益：","명망이 높아지다:"
,"声望等级提升","명망이 높아지다"
,"声望等级    1","명망 등급 1"
,"声望等级    2","명망 등급 2"
,"声望buff","명망 buff"
,"声音开关","사운드 스위치"
,"声音设置","사운드 설정"
,"复仇","앙갚음"
,"夏日盛典","여름 축제"
,"外传","외전"
,"大厅","홀"
,"大英雄的经验","대영웅의 경험"
,"大黑的新家","새까만 새집"
,"天之刃","하늘의 칼"
,"天","하늘"
,"失败","실패하다."
,"失败后自动再次挑战","실패 후 자동으로 재도전"
,"头像","프로필 사진"
,"头像框","프로필 액자"
O,"头目","Boss"
,"奎因轰炸全体敌方目标，对全体敌方目标造成伤害，根据自身速度提高伤害。有25%概率赋予不可恢复状态","퀸은 적의 목표물 전체를 폭격하여 전체 적의 목표물에 피해를 주고, 자신의 속도에 따라 피해를 높인다.25%의 확률로 회복불능 상태를 부여합니다"
O,"奖励自选","선택 보상"
O,"奖励","보상"
O,"奖励信息","보상 정보"
O,"奖励兑换","보상 교환"
O,"奖励加成","보상 증가"
O,"奖励已取得","보상 수령 완료"
O,"奖励物品","보상 물품"
,"奖励获取","획득을 장려하다"
O,"奖励预览","보상 미리보기"
O,"套装名字","세트 이름"
O,"套装","세트"
O,"套装效果","세트 효과"
O,"套装属性","세트 속성"
,"套装筛选","세트 선별"
,"奥义技","오의기"
,"奥尼安","오니안"
,"奥托露娜","오토루나"
,"奥托露娜国际","오토루나 인터내셔널"
,"奥托露娜疯狂科学家","오토루나 광기 과학자"
,"奥托露娜骑士团","오토루나 기사단"
,"奥托露娜骑士穿着伤风败俗，阵线军官勒令整改引冲突！","오토루나 기사는 상풍패속, 전선 장교들은 충돌을 시정하라!"
O,"好友","친구"
,"好友上限","친구 상한선"
,"好友优先","친구 우선"
,"好友列表","친구 목록"
,"好友单位","절친한 친구 회사"
,"好友数","친구 수"
,"好友防御力提升35%","친구 방어력 35%향상"
,"好感度","호감도"
,"好感度提升至<color=#fcd601>Lv.8</color>","호감도 상승<color=#fcd601>Lv.8</color>"
,"好感度等级","호감도 등급"
,"好感度Lv.6以后开放","호감도 Lv.6 이후 개방"
,"好感等级","호감 등급"
,"好感 + 999","호감 +  999"
,"好评","호평"
,"如果成就达成且声誉级别上升的话，就能获得各种持续效果。","성취가 달성되고 평판이 올라가면 각종 지속 효과를 얻을 수 있다."
,"妮娜","니나"
,"妮欧","니오"
,"妮殴","귀싸움을 하다"
,"姓名","이름"
,"姬海","희해"
,"姬海棠","베고니아"
,"存储时间","저장 시간"
,"季旭不要啊不要啊，不要再送了啊","계욱싫어 싫어 그만 데려다 줘"
,"季旭哪周玩的不菜？","계욱 무슨 요리에 놀았어요?"
,"季旭彩笔制造商","계욱 컬러펜 제조사"
,"季旭怎么这么菜啊啊啊","계욱 어쩜 이렇게 요리야 아아"
,"完成","완성하다."
,"完成上一关卡","이전 관문을 완성하다"
,"完成主线剧情 1-2","줄거리 완성 1-2"
,"完成度","완성도"
,"完成度：","완성도:"
,"完成度100%","완성도 100%"
,"完成情况","완성도"
,"完成率","완성률"
,"完成角色任务","역할 임무를 완성하다"
,"实力至上
实力至上
实力至上","실력이 제일이다
실력이 제일이다
실력이 제일이다"
,"实战模式","실전 모드"
,"实验性","실험성"
,"审核方式：","심사 방식:"
,"家具","가구"
,"家园","집터"
,"家园中","집안에"
,"密钥合成","키가 합쳐지다."
,"富兰克林
这","프랭클린
이"
,"寝室","침실"
,"对我个人而言，一天掉多少跟头发不仅仅是一个重大的事件，还可使会改变我的人生。","개인적으로 하루에 머리카락이 얼마나 빠지는지는 중대한 사건이 아닐 뿐만 아니라 내 인생을 바꿀 수 있다."
,"对战记录","대전 기록"
,"对方输出","상대수출"
,"对话 Lv.1","대화Lv.1"
O,"寻获物品","습득 물품"
,"将军二阶","장군 이계"
,"尊敬的指挥官，您对当前舰队情况满意吗？请为我们的努力给予好评吧！","존경하는 지휘관님, 현재 함대 상황에 만족하십니까?우리의 노력에 대해 좋은 평가를 해 주세요!"
,"小时后","시간 후"
,"小段位","소단"
,"小糊涂仙小糊涂仙小糊涂仙小糊涂仙小","망령선소망선소망선소망선소망선소"
,"小队","소대"
,"小队名字有八个字","소대 이름은 여덟 자이다."
,"小队名称更新","소대명 갱신"
