Confirmed,Id,Source,KOR
,"201009035","立刻杀掉修罗才一劳永逸，你看，那个指挥官不就清楚得很嘛。","당장 수라를 죽여버리고 나서야 비로소 영일할 수 있었다. 봐라, 그 지휘관은 아주 잘 알잖아."
,"201009036","少瞧不起人了！","사람을 얕잡아봐라!"
,"201009037","啊哟！","아야!"
,"201009038","<color=#969696>神乐又抡了一棍！不过这回修罗躲开了。</color>","<color=#969696>신이 또 한 대 휘둘렀구나!하지만 이번엔 수라가 몸을 피했다.</color>"
,"201009039","怎么老搞突袭啊，不讲理啊！","왜 늘 급습을 하느냐, 억지를 부리느냐!"
,"201009040","哪儿轮得到你说！","어떻게 네가 말할 차례냐!"
,"201009041","<color=#969696>还是第一次见她们吵架，原来神乐发怒这么吓人。</color>","<color=#969696>싸운 건 처음인데 신이 화를 내면서 사람을 놀래키는구나.</color>"
,"201009042","<color=#969696>别出声，我们是透明的，我们是透明的……</color>","<color=#969696>소리내지 마, 우리는 투명해, 우리는 투명해...</color>"
,"201009043","我们可是姐妹啊，从诞生起便从未分开、比世上任何人都要亲密的姐妹，然而你就这么信不过我，之前连清理傀儡都不带我去！","우리는 정말 자매야, 태어나면서부터 한 번도 떨어져 있지 않은, 세상 그 누구보다 친한 자매야, 하지만 너는 나를 이렇게 못 믿어, 이전에는 꼭두각시 정리조차 안 데려가!"
,"201009044","啊？你现在要说这个？","어? 너 지금 이거 말하려고?"
,"201009045","当然了，说白了你不就生怕我们死在「愤怒」生产的傀儡手上，才费尽心思闹这么一出吗。","하긴, 우리가 분노 생산의 꼭두각시 손에 죽을까 봐 애쓰면서 이렇게까지 하지 않았습니까?"
,"201009046","啊……","아..."
,"201009047","别想蒙混过关。","어물쩍 넘어가려 하지 마라."
,"201009048","唉，那你要修罗怎么办嘛，那些人偶每次都偷修罗的招数去打你们，你们迟早会死的啊。","아, 그럼 수라를 어떻게 하란 말이냐. 인형이 매번 수라의 수법으로 너희를 때린다면 너희들은 조만간 죽게 될 거야."
,"201009049","<color=#969696>归根结底是因为我们太弱？虽说事实如此，但这话说得……</color>","<color=#969696>결국 우리가 너무 약해서일까.사실이긴 하지만, 이 말이 맞는데...</color>"
,"201009050","<color=#969696>罢了罢了，修罗也是为我们好，实在不行有我垫底呢。</color>","<color=#969696>그러나 수라도 우리를 위하여 좋은 것이니 내가 밑바닥을 깔면 안 되겠느냐?</color>"
,"201009051","正好来了个厉害的家伙，感觉连发疯的修罗都可以杀，那趁机来个痛快不好吗。","때마침 센 놈이 왔네, 미쳤던 수라까지 죽일 수 있을 것 같으니, 그 틈을 타 통쾌하지 않겠어."
,"201009052","所以我说你傻啊，大傻子！还瞧不起人！","그래서 내가 너 미련하다, 미련하다!아직도 사람을 업신여긴다!"
,"201009053","是是是，修罗犯傻，还小瞧了你们。","네네, 수라가 어리숙해서 너희를 업신여겼어요."
,"201009054","你还小瞧了name。","넌 얕잡아 보잖아 name"
,"201009055","哦……？","어...?"
,"201009056","此刻你仍在抑制力量，希望在控制不住前被我们杀死，好让那些能量烂在你的核心里，是吧？","지금 이 순간에도 당신은 힘을 억제하고 있다. 통제하기 전에 그 에너지가 당신의 핵심에 썩어 버리기를 바랄 것이다, 그렇죠?"
,"201009057","你就没想过将它全部释放出来吗？","그걸 다 풀어줄 생각은 없습니까?"
,"201009058","哈？神乐，你知不知道你在说什么。","하 신이여, 무슨 말인지 아는가."
,"201009059","你想说我们也会死是吧？当然，我一开始便见识过你的力量有多恐怖，只凭我们毫无胜算。","너도 우리도 죽는다고 말하고 싶었지?물론 처음부터 네 힘이 얼마나 무서운지 봤지만 우리만으론 승산이 없다."
,"201009060","啊呀，那个时候真没控制住，对不起了啊。","아이고, 그때 정말 주체할 수가 없어서 미안하구나."
,"201009061","但我们不会再输了，有指挥官在，管你是什么火山还是什么发疯的天之刃，我们都胜券在握。","그러나 우리는 더 이상 지지 않을 것이다."
,"201009062","这一路走来，我……还有姐姐们，都深信指挥官的实力！","그 길로 나는… 그리고 누나들은 모두 지휘관의 실력을 믿었다!"
,"201009063","交给您了，指挥官！","맡길게요, 지휘관!"
,"201009064","哈……哈哈哈哈哈哈哈哈哈哈！！","ㅎㅎㅎㅎㅎㅎㅎㅎㅎ!!"
,"201009065","指挥官！关键时刻麻烦您配合一下，别开玩笑了！","지휘관! 중요한 때 협조 좀 부탁합니다. 농담 그만하세요!"
,"201009066","哈……哈哈哈哈哈哈哈哈哈哈！！","ㅎㅎㅎㅎㅎㅎㅎㅎㅎ!!"
,"201009067","啊啊，原来如此，原来如此。","아아 그렇구나."
,"201009068","这下修罗真的认输了，没想到啊，最疯狂的人原来是你啊！","이번엔 정말 수라가 졌구나, 생각지도 못했구나, 제일 미쳤던 사람이 너였구나!"
,"201009069","真是一场精彩的豪赌，真是杰作，真是——太有意思了！","정말 멋진 도박이었어요. 걸작이에요. 정말 재미있었어요."
,"201009070","唔！这杀气……","아! 이 살벌.."
,"201009071","严阵以待！","진지를 단단히 갖추고 기다리고 있다!"
,"201009072","好啊，既然你们都让修罗别客气了，那就上吧。","좋아요. 그럼 수라 씨한테 사양하지 말라고 했으니까 올라가세요."
,"201009073","小心点，别死了哦？","조심해, 죽지 말고?"
,"201010000","呃啊——累死修罗啦——","으아--힘들어 죽겠어-"
,"201010001","神乐啊，让修罗躺躺大腿嘛——","신락아, 수라를 허벅지에 눕히라 했잖아."
,"201010002","哎呀，写了几个字而已，瞧你这长吁短叹的。","아이고, 몇 글자 썼을 뿐인데, 한숨만 쉬네."
,"201010003","明明是神乐不讲道理，什么年代了还用手写检讨书……","신락이 억지를 부리는 판에, 언제가 됐는데도 손으로 반성문을 쓰니..."
,"201010004","不可抱怨！也不想想你闯了多大的祸，这点惩罚还算轻了！","원망하지 마! 네가 얼마나 큰 사고를 쳤는지 생각지도 않아, 이 정도 벌은 가벼운 거야!"
,"201010005","哎痛痛痛，头顶还没好，别敲了别敲了！","아이고 아프다, 머리가 아직 안 됐으니 두드리지 마라!"
,"201010006","你当时下的手可比这痛得多哦！","네가 당시에 손을 댔던 것보다 훨씬 아프구나!"
,"201010007","你们不也狠狠教训了修罗一顿嘛，扯平啦。","너희들도 수라를 심하게 혼내주지 않았느냐, 비겨라."
,"201010008","……那次以命相搏就这么扯平了吗……","...그때 목숨 걸고 비겼을까.."
,"201010009","……我们真的差点命丧姐妹之手哎……","...우린 정말 자매상실할 뻔했네..."
,"201010010","那边的姐姐们在说什么啊——修罗没听清——","저기 언니들이 무슨 말을 하는 거야 -수라가 잘 못 알아들었어-"
,"201010011","呵，不愧是我们最淘气的妹妹，钻个牛角尖都让人伤筋动骨。","헉, 역시 우리 제일 장난꾸러기 동생답게 뿔끝 하나라도 뚫고 들어가니 근골이 상한다."
,"201010012","罢了罢了，我们做姐姐的，就在这儿默默守候她们吧。","아뿔싸, 우리 누나 할 테니까 여기서 묵묵히 지켜봐라."
,"201010013","千早她们不理修罗哎，还在生气？","천만에 그녀들은 수라를 외면하고 아직도 화를 내고 있는가?"
,"201010014","唉，你也真是的……","아휴, 너도 참..."
,"201010015","已经过去几天了，现在想来我仍然感到后怕。","이미 며칠이 지났지만, 지금 생각해도 나는 여전히 겁이 난다."
,"201010016","真是多亏了name相助，假若ta不在，我们真不知该如何阻止你……","name이 도와준 덕분이지, 만약 ta가 없다면 어떻게 말릴지…."
,"201010017","哈哈哈哈，如果ta不在，修罗倒也不会这么冲动啦！","하하하, 타이가 없었으면 수라도 이렇게 흥분하지 않았을걸!"
,"201010018","你还说！","아직도 말해!"
,"201010019","哎哟！都说别敲头了！别！","아뿔싸! 머리를 두드리지 말라니까!하지마!"
,"201010020","瞧瞧你一身的伤，是不是又瞒着我去纽带舰队惹事了？","너 상처투성이인 것 좀 봐, 또 나 몰래 유대 함대에 가서 일을 저질렀지 않았니?"
,"201010021","我们已给指挥官添了大麻烦，怎能再去打扰ta们呢，你这任性的孩子！","지휘관에게 큰 폐를 끼쳤는데 왜 다시 ta들을 괴롭힐 수 있느냐, 이런 제멋대로인 아이야!"
,"201010022","哎，修罗忍不住嘛。","에이, 수라가 못 참겠구나."
,"201010023","谁让那个人这么强呢，修罗还是第一次见那么强的人……能把修罗打得落花流水的人！","누가 그 사람을 이렇게 강하게 만들었냐, 수라는 그렇게 강한 사람은 처음 본다… 수라를 낙화유수하게 만들 수 있는 사람!"
,"201010024","神乐难道不好奇吗？哦对了，下次神乐也和修罗一起去挑战她们吧！","신락이 궁금하지 않은가.아 참, 다음에는 신락도 수라와 함께 도전해보세요!"
,"201010025","糟糕，我不该跟你说这个的……","아뿔싸, 너한테 그런 말 하지 말았어야 했는데..."
,"201010026","啊啊，那个指挥到底是什么道理呢，那种战术是怎么想出来的呢，啊啊——太有意思了！","아아, 그 지휘가 도대체 무슨 이치인가, 그런 전술은 어떻게 생각해냈을까, 아아- 너무 재미있어!"
,"201010027","这么有意思的对手，修罗当然不能轻易放过ta了啊。","이렇게 재미있는 상대라면 수라가 타이를 그냥 지나칠 수 없겠죠."
,"201010028","哈哈哈……哈哈哈哈哈！","하하하...하하하하!"
,"201010029","哎呀呀，原来是这么一回事啊。","아이고, 이런 일이었구나."
,"201010030","不愧是阵线联合培育出来的AG，连解决问题的方法都激进得出乎我预料呢。","과연 AG는 전선연합이 만들어낸 문제해결 방법조차 예상을 뛰어넘을 정도로 급진적이었다."
,"201010031","您说是吧，阿特拉斯阁下？","그렇죠, 아틀라스 각하?"
,"201010032","这个做法是ta的个人选择，并不是阵线的指示。","이는 ta의 개인적인 선택이지 전선의 지시가 아니다."
,"201010033","<color=#9dd0ff>呵呵，这我当然明白，不然阿特拉斯阁下也不会特意跑一趟埃律西姆，把那里的「编织者：恐惧」运送到高天原去了。</color>","<color=#9dd0ff>허허, 이건 당연히 압니다. 그렇지 않으면 아틀라스 각하도 특별히 한 번 에리심에게 달려가 그곳의 퀼트: 두려움을 고천원으로 운송하지 않을 것입니다.</color>"
,"201010034","<color=#9dd0ff>我只是想您真见外呀，明明可以先跟我打声招呼的，我借您一艘飞船不比铁锤号来得快么？</color>","<color=#9dd0ff>나는 단지 당신이 정말 남 같구나, 분명히 먼저 나에게 인사할 수 있을 텐데, 비행선 하나를 빌리는 것은 쇠망치호보다 빠르지 않니?</color>"
,"201010035","就算我不说，你也擅自借给我了。","설령 내가 말하지 않더라도 너는 나에게 제멋대로 빌려주었다."
,"201010036","<color=#9dd0ff>您指的是什么呢？奥特兰德号并不是我的飞船吧。</color>","<color=#9dd0ff>무엇을 말씀하시는 겁니까?오트랜드호는 내 비행선이 아니겠지.</color>"
,"201010037","人类有个词叫“借花献佛”，你应该比我清楚——或者你更喜欢“借刀杀人”？","인간에게는 '꽃을 빌려 부처를 바친다'라는 말이 있는데, 나보다 더 잘 알 것 같거나, '칼을 빌려 사람을 죽이는 것'을 더 좋아할까?"
,"201010038","<color=#9dd0ff>啊……阿特拉斯阁下难道生气了？</color>","<color=#9dd0ff>아…아틀라스 각하께서는 혹시 화가 나셨습니까?</color>"
,"201010039","<color=#9dd0ff>纽带舰队的确扰乱了您的计划，可最终结果……恕我僭越，我猜应该比您原本的打算更好吧？</color>","<color=#9dd0ff>유대함대가 당신의 계획을 어지럽힌 것은 사실이지만, 최종 결과는…. 참월함을 용서하면 원래 계획보다 낫지 않을까?</color>"
,"201010040","<color=#9dd0ff>即使如此您仍然不满的话，我也只好抽空过来当面赔罪了。</color>","<color=#9dd0ff>그래도 불만이 있으면 제가 짬을 내서 면전에서 사죄할 수밖에 없습니다.</color>"
,"201010041","你不用把话说得这么——","너는 말을 이렇게 조리 있게 하지 마라"
,"201010042","阿特拉斯。","아틀라스."
,"201010043","……谈话还没结束，你回避一下。","… 아직 대화가 끝나지 않았으니 비켜라."
,"201010044","还要回避吗？我看你们根本不打算好好说话，还以为都在等一个心直口快的人过来打断呢。","또 피해야 합니까? 당신들은 말을 제대로 할 생각이 전혀 없는데요, 모두 시원시원한 사람이 와서 끊기를 기다리고 있는 줄 알았습니다."
,"201010045","<color=#9dd0ff>哦……？</color>","<color=#9dd0ff>어...?</color>"
,"201010046","而且那边的调查报告发来了，我们阵线的人都得做正事。","그리고 그쪽의 조사 보고서가 왔으니 우리 전선 사람들은 모두 일을 해야 한다."
,"201010047","该你回避了，奥托露娜的。","네가 외면할 차례야, 오토루나의."
,"201010048","<color=#9dd0ff>呵呵呵……您有一位非常有趣的部下呢，阿特拉斯阁下。</color>","<color=#9dd0ff>허허허…재미있는 부하가 계시네요, 아틀라스 각하.</color>"
,"201010049","<color=#9dd0ff>好吧，那么我们下次再聊，到时候请把那位「天之刃」也介绍给我认识认识吧。</color>","<color=#9dd0ff>네, 그럼 다음에 다시 이야기할께요. 그때 그분의 하늘의 칼도 제게 소개해 주세요.</color>"
,"201010050","……","……"
,"201010051","出云，你冲动了。","구름이 끼다,너는 충동적이다."
,"201010052","我只是懒得再听她阴阳怪气，你也不嫌累。","나는 그녀의 괴상한 말을 다시 듣기가 귀찮을 뿐, 너도 피곤함을 싫어하지 않는다."
,"201010053","我没有累的概念。","나는 힘들다는 개념이 없다."
,"201010054","哦，所以你就一直奉陪她？那个女人在强行卖你人情，你不可能没听出来吧。","오, 그래서 네가 줄곧 그녀를 동반했니?그 여자가 네 인정을 강매하는 걸 못 알아들었을 리가 없지."
,"201010055","她所说的基本都是事实。","그녀가 말한 기본은 모두 사실이다."
,"201010056","铲除傀儡化编织者，解决高天原火山问题，只要能达成目的，我就没有理由反驳。","괴뢰화 획책자를 척결하고 고천원 화산문제를 해결하는 데 목적을 달성할 수만 있다면 내가 반박할 이유가 없다."
,"201010057","啧，毫无原则的结果论者。","자, 원칙 없는 결과론자."
,"201010058","你的正事呢？","너의 중요한 일은?"
,"201010059","千早写的报告。跟你预想的差不多，自己看吧。","천만에 쓴 보고서. 네가 예상했던 것과 비슷하니 직접 보아라."
,"201010060","嗯……","음..."
,"201010061","呵，还附带修罗手写的检讨书。","헉, 수라가 손으로 쓴 반성문도 첨부되어 있습니다."
,"201010062","神乐教她的吧。","신락이 그녀에게 가르쳐 주었지요."
,"201010063","一群不听话的残次品，净做多余的事。","말을 듣지 않는 불량품들이 공연한 짓만 한다."
,"201010064","修罗是阵线联合重要的作战单位，借这次机会增强实力是件好事。","수라는 전선 연합의 중요한 작전 단위였기 때문에 이번 기회에 실력을 증강시킨 것은 잘된 일이었다."
,"201010065","即使以欠下奥托露娜的人情为代价？","오톨루나에게 신세를 진 대가로라도?"
,"201010066","以欠下纽带舰队的人情为代价。","유대의 신세를 진 대가로."
,"201010067","哼，不都一样吗。","흥, 다 똑같잖아."
,"201010068","不，我分得清。","아니오,분명히 할 수 있습니다."
,"201010069","出云，你还没见过name，但你终有一天会和ta并肩作战，就像你的妹妹们一样。","이즈모는 아직 name을 본 적이 없지만 언젠가는 동생들처럼 ta와 어깨를 나란히 할 것이다."
,"201010070","到那时候，你会明白我的意思。","그때가 되면,너는 나의 뜻을 이해하게 될 것이다."
,"202010000","漆身吞炭，寄生黑暗……一切却是徒劳。","숯을 집어삼키고, 어둠에 더부살이를 하는데…. 허사였다."
,"202010001","封锁内心，毁冠裂甲……一切却是徒劳。","속마음을 봉쇄하고 망가뜨리고… 허사였다."
,"202010002","既然我已走到如今，那么……","내가 여기까지 왔으니..."
,"202010003","太慢了——！","너무 느려.—!"
,"202010004","啧……","쯧쯧..."
,"202010005","在和米尔维斯战斗后……你还留着那么多余力吗。","밀비스와 싸운 뒤에도…. 그렇게 여력이 남아 있느냐."
,"202010006","哼，你太小瞧我了。","흥, 너는 나를 너무 깔본다."
,"202010007","无论是你，还是整个骷髅涂鸦我会全部消灭！","너든 해골 낙서든 내가 다 없애줄게!"
,"202010008","……！","……！"
,"202010009","我说过，你太慢了吧。","내가 말했잖아, 너 너무 느리잖아."
,"202010010","……","……"
,"202010011","啧，又是电子幻影？！","쯧쯧, 또 전자 팬텀?!"
,"202010012","整个据点突然失去了照明，黑暗中……","거점 전체가 갑자기 조명을 잃고 어둠 속에서."
,"202010013","……狗屎。","개똥."
,"202010014","伊丝姆的射流枪命中了秃鹫的左臂，感应到高热量而自动关闭的防爆门被染成了红色。","이섬의 사류총은 독수리의 왼쪽 팔에 명중했고, 고열량을 감지해 자동으로 닫혔던 방폭문은 붉은색으로 물들었다."
,"202010015","<color=#9dd0ff>速度对我来说并不重要，虽然很可惜，但我的确该放弃对你的执着。</color>","<color=#9dd0ff>속도는 나에게 중요하지 않다.안타깝지만,나는 확실히 너에 대한 집착을 포기해야 한다.</color>"
,"202010016","伊丝姆再次开枪，下个瞬间——","이숨이 다시 총을 쏘는 다음 순간-"
,"202010017","……什？！","…뭐?!"
,"202010018","为什么，你会发现我？","왜, 너는 나를 발견할 수 있니?"
,"202010019","天真，这种程度的黑暗就想困住我？","천진아, 이 정도 어둠이 나를 옥죄고 싶어?"
,"202010020","凭借过去的记忆和经验，我随时都能锁定你。","과거의 기억과 경험으로 말미암아 나는 언제든지 너를 고정시킬 수 있다."
,"202010021","<color=#969696>难道是从刚才的防爆门撞击声判断出了我的位置？！</color>","<color=#969696>혹시 아까의 방폭문 충돌음에서 내 위치를 알아낸 건 아닐까?!</color>"
,"202010022","去地狱里好好想吧，第一个被我干掉的狗屎混蛋。","지옥에 가서 잘 생각해라. 첫 번째 내가 해치운 개똥 같은 놈."
,"202010023","砰——","펑-"
,"202010024","……？！","……？！"
,"202010025","伴随着火花，康德尔还没来得及发出哀嚎就被两把电锯劈开了半身。","불꽃과 함께 콘델은 절규하기도 전에 전기톱 두 개에 반신이 절단됐다."
,"202010026","强烈的疼痛让康德尔像一具断线的人偶坠倒了下来。","강한 통증이 칸델을 끊어진 인형처럼 떨어뜨렸다."
,"202010027","还好我通过附近的干扰源找到了你。","다행히 나는 근처의 방해원을 통해 너를 찾았다."
,"202010028","你留下的求救信号真是太难懂了。","네가 남긴 구조신호는 정말 이해하기 어렵다."
,"202010029","可你还是解读出来了。","그래도 넌 읽어냈다."
,"202010030","谢谢你，链条。","체인 감사합니다."
,"202010031","她还没断气，不过……你还想招揽她吗？","그녀는 아직 숨을 거두지 않았는데…당신은 아직도 그녀를 모집할 생각이 있습니까?"
,"202010032","AGR-06康德尔，这个人物太过危险。","AGR-06 칸델, 이 인물은 너무 위험하다."
,"202010033","处理掉她吧。","그녀를 처치해라."
,"202010034","哼，那么现在就到我真正发挥作用的时候了。","흥, 그럼 이제 내가 제대로 할 때가 됐다."
,"202010035","链条打开了手中电锯的限制器，热潮与火花不断喷涌而出。","체인이 손에서 전기톱의 제한기를 열자 열기와 불꽃이 튀었다."
,"202010036","让我看看，你的里面都藏了什么——","그대 안에 무엇이 숨겨져 있는지 보여줘-"
,"202010037","……哦？","…어?"
,"202010038","怎么了？","무슨 일이지?"
,"202010039","伊丝姆，我改主意了。","이삼, 나 마음을 바꿨어."
,"202010040","……","……"
,"202010041","喂，给我起来，我知道你已经有意识了。","야, 일어나, 네가 이미 의식이 있는 거 알아."
,"202010042","睁开眼，我们的审讯要开始了。","눈을 뜨면 우리의 심문이 시작될 것이다."
,"202010043","——鹰身女妖AG，康德尔！","-독수리녀 AG, 칸델!"
,"202010044","叽叽喳喳的。","재잘거리다."
,"202010045","把我的意识唤醒，还组装了我断裂的身体……","내 의식을 깨우고 부러진 내 몸을 조립하고..."
,"202010046","你们这些废物，居然指望我亲口告诉你们什么东西？","너희들의 이 쓸모없는 인간들이 뜻밖에도 내 입으로 너희들에게 어떤 것을 알려주기를 바라느냐?"
,"202010047","你不明白状况吗？","당신은 상황을 모르십니까?"
,"202010048","本来我可以切开你，让伊丝姆分解你的装备。","원래는 내가 너를 절개해서 이숨이 너의 장비를 분해하도록 할 수 있었다."
,"202010049","不过没想到，你的身体上居然印有阵线的实验AG标志。","몸에는 뜻밖에도 실험 AG 마크가 새겨져 있었다."
,"202010050","这代表你并不是普通的AG，甚至可以说——这代表你不是正常的人类。","이것은 당신이 정상적인 인간이 아니라는 것을 의미할 정도로 당신이 보통 AG가 아니라는 것을 의미한다."
,"202010051","看来你知道标志的含义，就是说……你也不是正常的人类？","당신은 상징의 의미를 아는가 보다, 그러니까…당신도 정상적인 인간이 아니다?"
,"202010052","你有提问的权利吗？","당신은 질문할 권리가 있습니까?"
,"202010053","链条踹了一脚康德尔的头，强迫她仰视自己。","사슬은 칸델의 머리를 걷어차고 그녀에게 자신을 우러러보라고 강요하였다."
,"202010054","听好，你想继续活着的唯一途径，就是把你变成实验AG的经过说出来。","들어봐, 네가 계속 살고 싶은 유일한 방법은, 너를 실험 AG로 만든 과정을 말하는 거야."
,"202010055","傻■，去吃屎吧。","어리숙■똥이나 먹자."
,"202010056","链条开启电锯，直接锯断了康德尔的一只手。","체인은 전기톱을 켜고 콘델의 한 손을 톱질했다."
,"202010057","啧……！","쳇...!"
,"202010058","链条，不要太暴力了。","체인, 너무 폭력적이지 마세요."
,"202010059","鹰身女妖身上的高性能元件对我们有用。","응신녀 요괴의 고성능 소자는 우리에게 유용하다."
,"202010060","放心吧，毕竟这个东西的命是我留的。","안심해라.결국 이 물건의 운명은 내가 남겨둔 것이다."
,"202010061","我只是想加大点审讯的力度。","나는 단지 심문하는 힘을 좀 더 쏟고 싶다."
,"202010062","我的意思是，我有特殊的方法让她说出来。","내 말은 그녀가 말하도록 하는 특별한 방법이 있다는 것이다."
,"202010063","你手上拿的是……哦，我明白了。","네 손에 든 것은...어, 알겠어."
,"202010064","此时康德尔上方的通风口里，某位AG记录着现在的一切。","이때 칸델 위쪽 환풍구에는 지금 이 모든 것이 기록되어 있습니다."
,"202010065","呼叫队长米尔维斯，这里是鹰身女妖2号克罗娅斯……请求报告。","콜캡틴 밀비스, 여기는 호크몬스터 2호 크로아스…보고를 요청합니다."
,"202010066","<color=#9dd0ff>通信已链接，说吧2号。</color>","<color=#9dd0ff>통신이 연결되었습니다. 말씀하세요 2호.</color>"
,"202010067","我已成功潜入骷髅涂鸦的躲藏点，在-32，97的位置发现目标康德尔以及两名纹有骷髅涂鸦标志的AG。","나는 해골 낙서의 은신처인 -32,97 지점에서 목표물인 칸델과 해골 낙서 마크가 새겨진 AG 2명을 발견하는데 성공했다."
,"202010068","现在发送图像简报，请查收。","지금 이미지 브리핑 보내드리니 받아주세요."
,"202010069","<color=#9dd0ff>……看来，她们要对康德尔使用自白剂了。</color>","<color=#9dd0ff>…칸델에게 자백을 해야 할 것 같다.</color>"
,"202010070","旧时代的药剂……不是已经被阵线全部销毁了吗？","구시대 약제…전선 전소되지 않았나?"
,"202010071","<color=#9dd0ff>这些叛徒手里有一两支没什么奇怪的。</color>","<color=#9dd0ff>이 반역자들의 수중에 한두 자루는 아무런 이상함이 없다.</color>"
,"202010072","还好，即使是最坏情况，也不必担心骷髅涂鸦会得到我们的情报。","최악의 경우라도 해골 낙서가 우리 정보를 얻을 수 있다는 걱정은 하지 않아도 된다."
,"202010073","因为，康德尔从没有正式加入过鹰身女妖。","콘델이 공식적으로 호크 귀신에 가입한 적이 없기 때문이다."
,"202010074","<color=#9dd0ff>我不是在担心这个，你和我都已经认识她许多年了。</color>","<color=#9dd0ff>나는 이것을 걱정하는 것이 아니다.너와 나는 이미 그녀를 몇 년 동안 알고 있었다.</color>"
,"202010075","<color=#9dd0ff>我担心骷髅涂鸦要的……不是鹰身女妖的情报。</color>","<color=#9dd0ff>해골 낙서가 필요할까봐…매신녀 요괴가 아니라는 정보.</color>"
,"202010076","您是指那些AG说的“实验AG标志”？","당신은 AG가 말한 '실험 AG마크'를 말하는 것입니까?"
,"202010077","这我也从来没听说过，毕竟我这个级别也只能听到点高层的风流事了。","나도 들어본 적이 없는데, 어쨌든 내 직급은 고위층의 풍류밖에 들리지 않는다."
,"202010078","<color=#9dd0ff>……实验AG在阵线属于机密级别的秘密。</color>","<color=#9dd0ff>실험AG는 전선에서 비밀에 부쳐졌다.</color>"
,"202010079","<color=#9dd0ff>克罗娅斯，计划变了。</color>","<color=#9dd0ff>크로아스, 계획이 바뀌었어요.</color>"
