Confirmed,Source,KOR
,"你是不是该学学怎么开玩笑了……","너 배워야지, 장난치지..."
,"你是想跳槽吗？我愿意给你提薪。","당신은 이직하고 싶은 것입니까?나는 당신의 월급을 올리고 싶습니다."
,"你有什么目的？","당신은 무슨 목적이 있습니까?"
,"你死去了，你的亲人朋友都会伤心的。","네가 죽으면 너의 친척과 친구들이 모두 슬퍼할 것이다."
,"你用多少钱雇的保镖？","당신은 경비원을 얼마에 고용했습니까?"
,"你留在这里才是真的不懂浪漫。","너는 이곳에 남아야 정말 낭만을 모르는구나."
,"你的维修费用很高，这次行动中你可以随时撤离。","너의 수리 비용은 매우 높으니,이번 행동에서는 언제든지 철수할 수 있다."
,"你继续在我的舰船上才是个麻烦。","너는 나의 함선에 계속 있는 것이야말로 번거롭다."
,"你能帮助我吗？","당신은 나를 도와줄 수 있습니까?"
,"你要怎么让奥托露娜来协助我们？","당신은 어떻게 오토루나가 우리를 돕도록 할 겁니까?"
,"你误会了……我也担心你。","니가 오해했어...나도 니가 걱정돼."
,"你这是在诽谤我。","너는 지금 나를 비방하는 것이다."
,"侍从","시종"
,"保留它则傀儡就会被生产……","그대로 두면 꼭두각시가 생산된다..."
,"信不信我拆了你！","믿거나 말거나 내가 널 헐었어!"
,"信息还不完整，之后的记录要更加细致。","정보가 불완전한 만큼 그 이후의 기록은 더욱 세밀해야 한다."
,"偶尔也想当一下你的骑士。","가끔 당신의 기사도 되고 싶습니다."
,"傀儡师莎兰娜，这个决定我来回答你。","괴뢰사 사레나, 이 결정은 내가 대답할게."
,"先撤回来吧，我们还有时间，还有机会。","먼저 철수해라, 우리에게는 아직 시간이 있고, 아직 기회가 있다."
,"先派出侦察队，如果情报属实，就在这里阻击傀儡。","먼저 정찰대를 파견하여 만약 정보가 사실이라면 이곳에서 꼭두각시를 요격할 것이다."
,"其实我也有点在意……","사실 나도 좀 신경 쓰이긴 했는데..."
,"其实我也蛮能打的。","사실 나도 꽤 잘 친다."
,"再确认一下首脑给我们的任务。","정상이 우리에게 준 임무를 다시 한번 확인하자."
,"出动，救援康德尔。","출동하여 콘도르을 구원하다."
,"别责怪蕾拉了，我来负起责任。","레이라 탓하지 마, 내가 책임질게."
,"千早千岁，该你们了！","천추천세, 너희 차례다!"
,"半夜练武肯定有烦心事吧？","한밤중에 무술을 연습하면 틀림없이 걱정거리가 있겠지?"
,"卫星轨道","위성 궤도"
,"厄里芬，让傀儡师按我给出的路线移动。","에리펀, 괴뢰사단을 내가 제시한 대로 움직이게 하라."
,"原来我们出名到连初中生都知道了。","알고 보니 우리는 중학생도 알 정도로 유명해졌다."
,"又见面了啊。","또 만났네요."
,"只有侍从有房间的磁卡？","시종만 방이 있는 마그네틱 카드?"
,"可以，「纽带」也会加入会议。","네, 「고대」도 회의에 가입할 수 있습니다."
,"可以，但我并不是专业的侦探。","네, 하지만 전문 탐정은 아닙니다."
,"吃一顿好的","좋은 것을 한 끼 먹다"
,"后来找到法官的手提包了吗？","나중에 판사의 핸드백을 찾았습니까?"
,"告诉蕾拉吧，也通知妮欧和零四一起协助她。","라일라에게도 알려주고, 니오와 함께 도와달라고 알려라."
,"和你们在一起，就不会有不满。","너희들과 함께 있으면 불만이 없을 거야."
,"和我有什么关系？","나랑 무슨 상관이야?"
,"哇，真让人大饱眼福。","와, 정말 눈이 부시다."
,"唉，我好像猜到接下来的展开了。","아휴, 다음 전개는 짐작은 한 것 같군요."
,"啊？可我更想看你们交流感情哎。","네? 그래도 정 나누는 거 보고 싶어요."
,"嗨，很高兴认识你。","만나서 반가워요."
,"嗯……只有……我拥有停止你们自毁的权限。","음... 오직...나는 너희들의 자폭을 멈출 권한을 가진다."
,"嗯，一清二楚。","네, 잘 알아요."
,"大家平安归来就好。","모두 무사히 돌아오면 된다."
,"天基武器，立即发射。","천기 무기, 즉각 발사."
,"奇怪的梦……","이상한 꿈..."
,"好久不见了，妮欧。","오래간만이에요, 니오."
,"好啊，那我们去占领个什么岛放松一下吧。","좋아요. 그럼 우리 어떤 섬을 점령해서 긴장을 풀죠."
,"好犯规的能力啊，得让我的AG学学。","반칙 능력이 좋구나, 내 AG한테 배워야겠다."
,"如果我说是呢？","만약 내가 그렇다고 하면?"
,"妮欧、蕾拉，下一阶段的现场发令就交给你们了。","니오, 라일라, 다음 단계 현장발령 드릴게요."
,"妮欧，人类还没有输……","니오, 인류는 아직 지지 않았다…"
,"妮欧，攻击天花板。","니오, 천장 때리기."
,"安迪牌胡萝卜汁","앤디표 당근 주스"
,"将计就计，让案件聚焦在莉莉的死亡时间中。","계략을 짜서 릴리의 죽음에 초점을 맞춘다."
,"小粉……杀了人……？","팬…사람을 죽였다…?"
,"小粉，你背叛了我们吗？","팬아, 너 우리를 배반했니?"
,"巨大机器人小说里的组织，不用你们搞得那么清楚。","거대한 로봇 소설 속의 조직은 당신들이 그렇게 똑똑히 알 필요가 없다."
,"希望你的战斗能力对得起这些付出。","너의 전투 능력이 이러한 노력에 떳떳하기를 바란다."
,"希望这句话对我的招募结果有用。","이 말이 내 모집 결과에 유용하게 쓰였으면 좋겠다."
,"幽灵，她们生前是值得尊重的演奏家。","유령, 그녀들은 생전에 존경할 만한 연주자였다."
,"当然是来救你啦。","당연히 너를 구하러 왔지."
,"怎么了，这个叫天之刃的人很可怕吗？","왜, 이 하늘의 칼이란 사람이 무섭니?"
,"怎么了？米尔维斯呢？","왜요? 밀베스는요?"
,"怎么可能呢。","어떻게 그럴 수가 있겠어요."
,"怎么回事，姐妹反目成仇？","어찌된 일인지 자매가 반목하여 원수가 되었는가?"
,"总之，小……不，希尔维娅就是那个“不明单位”吗？","어쨌든, 작...아니, 힐비아가 그 정체불명의 부서인가?"
,"想不到我会做这种事……","내가 이런 짓을 할 줄은 몰랐는데..."
,"慢慢来吧。","천천히 와."
,"我……","나는..."
,"我一定要杀你。","나는 반드시 너를 죽이고 싶다."
,"我不需要你关心。","나는 너의 관심을 필요로 하지 않는다."
,"我也很感动。","나도 감동이다."
,"我代表纽带舰队，接手天之刃的指挥权！","나는 유대 함대를 대표하여 하늘의 칼의 지휘권을 넘겨받는다!"
,"我们的报酬有多少，该不会要义务打工？","우리의 보수가 얼마인데, 의무 아르바이트를 해야 합니까?"
,"我会一起去，并且承担责任。","내가 같이 가고 책임질게."
,"我做了一个很长的梦。","나는 아주 긴 꿈을 꾸었다."
,"我其实是……","저는 사실.."
,"我去看看猫球生产多少了……","캣볼이 얼마나 생산됐는지…"
,"我反对！","반대합니다!"
,"我听说「纽带」是一支特殊的舰队。","내가 듣기로는 유대가 특수한 함대라고 한다."
,"我和修罗的功劳一半一半吧。","나와 수라의 공은 반반이다."
,"我喜欢的其实是……","제가 좋아하는 것은 사실.."
,"我回来了。","내가 돌아왔다."
,"我很生气……所以，之后我也要加入！","나 너무 화가 나서..그래서 나도 나중에 가입해야겠어!"
,"我接下委托了，拿我的律师徽章出来。","나는 위탁을 받아 내 변호사의 배지를 가지고 나왔다."
,"我无法告诉你。","나는 너에게 말할 수 없다."
,"我是不是很贴心？","내가 정말 마음이 맞죠?"
,"我是来……替你们报仇的。","복수하러 왔어요."
,"我是该休息一下了。","나는 좀 쉬어야겠다."
,"我更想知道那些傀儡跟你们有什么关系。","나는 그 꼭두각시들이 너희들과 무슨 관계가 있는지 더욱 알고 싶다."
,"我有一个办法——","내게 한 가지 방법이 있다."
,"我有自己的打算。","나는 내 나름의 계획이 있다."
,"我有，一套完美的战术方案。","나는 완벽한 전술 방안을 가지고 있다."
,"我正好去看看生产了多少猫球。","나는 마침 고양이 공을 얼마나 생산했는지 보러 갔다."
,"我没事，让你担心了，抱歉……","괜찮습니다. 걱정 끼쳐 드려서 죄송합니다."
,"我没有什么目的，突然想来喝喝茶而已。","나는 아무 목적이 없는데, 갑자기 차를 마시러 온 것뿐이다."
,"我知道了。","나는 알았다."
,"我要揭开整个事件的真相——","나는 모든 사건의 진상을 밝힐 것이다."
,"我要跳出测试。","나는 테스트를 뛰어넘을 것이다."
,"我认为是傀儡引发的混乱。","나는 꼭두각시가 일으킨 혼란이라고 생각한다."
,"我还以为你是这些关卡的最终BOSS呢。","난 네가 이 관문들의 최종 보스인 줄 알았어."
,"我还是无法回答你。","나는 여전히 너에게 대답할 수 없다."
,"我连这是哪儿都不清楚。","나는 여기가 어디인지 조차 모른다."
,"房间外的餐车有什么特别的地方吗？","방 밖에 푸드트럭이 특별한 곳이 있습니까?"
,"打翻的红茶杯","엎질러진 홍차 잔"
,"把小托利送过来的孩子，我想把事情交给你。","톨리를 데려다 준 아이, 일을 너에게 맡기고 싶다."
,"按作战计划，撤离战线。","작전 계획에 따라 전선에서 철수하다."
,"放弃■■·■■","放弃 ■■ ·<EMJ_PHL EMJ_PHL>· ■■"
,"放心，我们会打败章鱼。","낙지는 안심하고 이길 수 있다."
,"无所谓。","상관없어요."
,"无法进行通讯吗？","통신을 할 수 없습니까?"
,"既然叫一天刃，你就是小队里最强的老大咯？","하루 종일 부르면 네가 소대 최강이니?"
,"早上好，妮欧。","안녕하세요,니오."
,"早上好，梅尔。","안녕하세요, 멜."
,"早上好，蕾拉。","좋은 아침이에요, 라일라."
,"早上好，零……","좋은 아침, 제로..."
,"有了小粉，今后看来要更加热闹了。","가루가 있으니 앞으로 더욱 흥청거릴 것 같다."
,"有人背叛了阵线。","누군가가 전선을 배반했다."
,"有时候什么都不做，也是一种关心。","가만히 있는 것도 관심일 때가 있다."
,"来都来了，我不会回头的。","왔다가 다 왔는데, 돌아가지 않을 거야."
,"梅尔发生了什么吗？","멜에게 무슨 일이 있었습니까?"
,"梅尔来陪我玩了。","멜이 놀러 왔어요."
,"梅尔还没有傀儡化的可能性很高？","메일은 아직 괴뢰화가 없을 가능성이 높다?"
,"死者","죽은 사람"
,"气味。","냄새."
,"没问题。","문제없어요."
,"法官","판사"
,"深入调查只能你一个人去了。","심도 있는 조사는 오직 너 혼자 갈 수밖에 없다."
,"渐进式进入湛蓝都市，尽可能救助市民。","점진적으로 짙푸른 도시에 들어가 시민을 최대한 구조한다."
,"特斐尔，我不会交出AG指挥权。","토이펠, 나는 AG 지휘권을 주지 않겠다."
,"现在，已经到人类反击的时候了。","이제 인류가 반격할 때가 됐다."
,"相信我，我不会有事的。","믿어줘, 난 아무 일 없을 거야."
,"看来不得不战了。","싸우지 않을 수 없을 것 같다."
,"看来赶上了。","따라잡았나 보다."
,"私闯民船啊……","민간선박에 밀입선이야..."
,"第三个选项。","세 번째 옵션입니다."
,"第二个问题。","두 번째 문제."
,"等等。","등이 있다."
,"等等！","잠깐만!"
,"答案是——磁力。","답은 자력이다."
,"红酒保镖","와인 보디가드"
,"继续对它进行火力压制。","화력 제압을 계속하다."
,"维系所有人的力量，在阵线联合与奥托露娜之间建立联盟。","모두의 힘을 묶어두고 전선 연합과 아우토루나의 연대를 구축한다."
,"蓝色利特梅德","블루 리트메드"
,"蕾拉……有她的苦衷。","라일라...고충이 있다."
,"蕾拉好凶的，你得说服她才行哦。","라일라 사나워. 설득해야 돼."
,"蕾拉，你退到后面去，这里让奎因来吧。","라일라, 뒤로 물러나, 여기에 퀸을 오게 해라."
,"蕾拉，是这样的……","라일라, 그랬는데..."
,"让你久等了，妮欧。","오래 기다리게 했네, 니오."
,"让我来解释吧。","제가 설명해 드리겠습니다."
,"请把我变成傀儡。","나를 꼭두각시로 만들어 주세요."
,"请把话说明白。","말을 분명하게 하세요."
,"谢谢","감사합니다."
,"谢谢你……卡佩拉。","감사합니다…카펠라."
,"谢谢你们，不过……为什么我无法发起通讯？","고맙지만…왜 나는 통신을 못하나요?"
,"贝妮：就是小粉专属骑枪「冈格尼尔」！","베니: 바로 팬덤 전용 라이딩 '곤게니얼'!"
,"超时——","시간 초과——"
,"辩方准备完毕。","변론 측의 준비가 끝나다."
,"这么直的钩都要咬？","이렇게 곧은 갈고리까지 다 물려고?"
,"这几人都搜过身了吗？","이 몇 사람 모두 몸수색을 했습니까?"
,"这次的谜题，并不复杂。","이번 수수께끼는 결코 복잡하지 않다."
,"这艘「奥特兰德号」的航行里程居然是0。","이 오트랜드호의 항행 거리는 뜻밖에도 0이다."
,"那个空间波动应该是裂缝吧。","그 공간의 파동은 금이 간 것이겠지."
,"那个，好像有股视线一直在盯着我们……","저, 시선이 계속 우리를 쳐다보고 있는 것 같은데..."
,"那么奥托露娜的贵族骑士为什么要支援「纽带」呢？","그렇다면 오토루나의 귀족 기사들은 왜 「고리」를 지원했을까?"
,"那么突然？！","그럼 갑자기?!"
,"那座“民宅”在阵线档案中是奥托露娜大使馆。","그 민가는 전선 기록에 오토루나 대사관으로 나와 있다."
,"那座“民宅”没什么特别的。","그 민가는 별것 아니다."
,"酸面包","시큼한 빵"
,"难道是疯狂科学家的疯狂实验？","광적인 과학자의 광적인 실험인가."
,"难道裂缝章鱼曾经是……","금이 간 낙지가 그랬을까."
,"零四，我还需要一些时间。","넷, 시간이 좀 더 필요합니다."
,"鞋印上面的血迹是谁的？","신발 자국 위의 핏자국은 누구의 것입니까?"
,"首脑至今没有解决愤怒，背后原因是？","정상이 아직도 분노를 풀지 못하는 배경에는?"
,"骑枪","기창"
,"高于一切，但没有高于我。","무엇보다도 나보다 높지는 않다."
,"（伸出手）","(손을 내밀어)"
,"（打开舱门）","(선실문 열기)"
,"（扣下扳机。）","(방아쇠를 당긴다.)"
,"（接过纸张）","(종이를 받아)"
,"（推开蕾拉。）","(레일라를 밀어준다.)"
,"（提交证据）“旧时代”酒吧老板的证词。","(증거 제출) 구시대 술집 주인의 증언."
,"（摇响船铃）","(선령 흔들기)"
,"（摸摸妮欧的头）","(니오의 머리를 쓰다듬으며)"
,"（注视维多利亚）","(빅토리아를 바라보며)"
,"（站起身。）","(일어나)"
,"（要不要告诉梅尔那是蕾拉在捉弄她呢……）","(멜라 장난치고 있다고 말할까...)"
